case,iter,ms,bytes,notes
decaps,105,19.7012,0,""
encaps,106,15.188,0,""
decaps,106,30.2448,0,""
encaps,107,14.9036,0,""
decaps,107,19.7082,0,""
encaps,108,14.3759,0,""
decaps,108,26.7888,0,""
encaps,109,15.302,0,""
decaps,109,20.4478,0,""
encaps,110,14.9083,0,""
decaps,110,19.9655,0,""
encaps,111,15.0379,0,""
decaps,111,20.0583,0,""
encaps,112,14.7791,0,""
decaps,112,19.2506,0,""
encaps,113,14.0939,0,""
decaps,113,19.2273,0,""
encaps,114,14.0112,0,""
decaps,114,24.4963,0,""
encaps,115,14.1353,0,""
decaps,115,19.1839,0,""
encaps,116,14.4299,0,""
decaps,116,19.3014,0,""
encaps,117,14.0564,0,""
decaps,117,20.504,0,""
encaps,118,15.4671,0,""
decaps,118,21.4068,0,""
encaps,119,28.6564,0,""
decaps,119,29.2744,0,""
encaps,120,18.0634,0,""
decaps,120,56.6932,0,""
encaps,121,19.5913,0,""
decaps,121,24.3175,0,""
encaps,122,24.5031,0,""
decaps,122,30.2408,0,""
encaps,123,28.6518,0,""
decaps,123,25.6722,0,""
encaps,124,20.5211,0,""
decaps,124,25.4576,0,""
encaps,125,18.4292,0,""
decaps,125,23.3935,0,""
encaps,126,18.1745,0,""
decaps,126,21.8194,0,""
encaps,127,17.9674,0,""
decaps,127,20.1052,0,""
encaps,128,14.9156,0,""
decaps,128,23.4027,0,""
encaps,129,15.2636,0,""
decaps,129,25.2759,0,""
encaps,130,17.4266,0,""
decaps,130,24.3778,0,""
encaps,131,20.1201,0,""
decaps,131,25.2673,0,""
encaps,132,17.3469,0,""
decaps,132,21.9706,0,""
encaps,133,16.7573,0,""
decaps,133,21.8223,0,""
encaps,134,17.0267,0,""
decaps,134,22.8649,0,""
encaps,135,17.2483,0,""
decaps,135,22.4155,0,""
encaps,136,17.926,0,""
decaps,136,22.6526,0,""
encaps,137,17.3662,0,""
decaps,137,22.7857,0,""
encaps,138,17.2078,0,""
decaps,138,23.1403,0,""
encaps,139,17.6364,0,""
decaps,139,22.9694,0,""
encaps,140,17.0591,0,""
decaps,140,22.1655,0,""
encaps,141,17.9362,0,""
decaps,141,20.4329,0,""
encaps,142,15.8253,0,""
decaps,142,21.6815,0,""
encaps,143,20.4435,0,""
decaps,143,20.7185,0,""
encaps,144,15.1888,0,""
decaps,144,20.676,0,""
encaps,145,16.1428,0,""
decaps,145,22.2194,0,""
encaps,146,15.2926,0,""
decaps,146,20.675,0,""
encaps,147,15.2001,0,""
decaps,147,21.5525,0,""
encaps,148,15.5964,0,""
decaps,148,20.8751,0,""
encaps,149,16.2977,0,""
decaps,149,22.2739,0,""
encaps,150,15.4911,0,""
decaps,150,21.0331,0,""
encaps,151,19.1777,0,""
decaps,151,26.7975,0,""
encaps,152,19.2918,0,""
decaps,152,25.0377,0,""
encaps,153,19.2422,0,""
decaps,153,24.4071,0,""
encaps,154,20.1617,0,""
decaps,154,28.8231,0,""
encaps,155,21.1247,0,""
decaps,155,27.4199,0,""
encaps,156,19.8194,0,""
decaps,156,28.2424,0,""
encaps,157,17.8479,0,""
decaps,157,27.2776,0,""
encaps,158,18.2713,0,""
decaps,158,24.7658,0,""
encaps,159,17.3553,0,""
decaps,159,24.5474,0,""
encaps,160,42.4426,0,""
decaps,160,21.9895,0,""
encaps,161,15.6844,0,""
decaps,161,21.371,0,""
encaps,162,15.8288,0,""
decaps,162,21.865,0,""
encaps,163,16.0076,0,""
decaps,163,21.5558,0,""
encaps,164,15.9269,0,""
decaps,164,23.7527,0,""
encaps,165,16.1222,0,""
decaps,165,21.9082,0,""
encaps,166,16.0618,0,""
decaps,166,21.714,0,""
encaps,167,16.1746,0,""
decaps,167,22.1156,0,""
encaps,168,16.1616,0,""
decaps,168,22.0601,0,""
encaps,169,16.1439,0,""
decaps,169,21.9793,0,""
encaps,170,16.0869,0,""
decaps,170,21.9553,0,""
encaps,171,16.1557,0,""
decaps,171,22.0811,0,""
encaps,172,16.2111,0,""
decaps,172,21.9662,0,""
encaps,173,16.1402,0,""
decaps,173,22.1032,0,""
encaps,174,16.354,0,""
decaps,174,22.1831,0,""
encaps,175,16.3482,0,""
decaps,175,22.2133,0,""
encaps,176,16.4346,0,""
decaps,176,22.3427,0,""
encaps,177,16.422,0,""
decaps,177,22.3533,0,""
encaps,178,16.5389,0,""
decaps,178,22.6083,0,""
encaps,179,43.4101,0,""
decaps,179,21.8538,0,""
encaps,180,15.9248,0,""
decaps,180,21.9661,0,""
encaps,181,16.1673,0,""
decaps,181,22.1745,0,""
encaps,182,16.4086,0,""
decaps,182,22.3624,0,""
encaps,183,16.5402,0,""
decaps,183,22.5607,0,""
encaps,184,16.6558,0,""
decaps,184,31.1972,0,""
encaps,185,16.499,0,""
decaps,185,22.581,0,""
encaps,186,16.5655,0,""
decaps,186,22.5312,0,""
encaps,187,16.5857,0,""
decaps,187,23.547,0,""
encaps,188,16.6351,0,""
decaps,188,22.8082,0,""
encaps,189,16.7884,0,""
decaps,189,22.9562,0,""
encaps,190,16.921,0,""
decaps,190,23.0315,0,""
encaps,191,16.9226,0,""
decaps,191,27.3165,0,""
encaps,192,16.9415,0,""
decaps,192,22.8706,0,""
encaps,193,16.7285,0,""
decaps,193,22.7913,0,""
encaps,194,17.8336,0,""
decaps,194,23.0192,0,""
encaps,195,17.1077,0,""
decaps,195,23.0492,0,""
encaps,196,16.9529,0,""
decaps,196,23.1448,0,""
encaps,197,16.9278,0,""
decaps,197,23.01,0,""
encaps,198,17.0351,0,""
decaps,198,23.2572,0,""
encaps,199,17.0862,0,""
decaps,199,23.2671,0,""
encaps,200,17.0821,0,""
decaps,200,23.2332,0,""
encaps,201,17.0479,0,""
decaps,201,23.2493,0,""
encaps,202,17.1629,0,""
decaps,202,23.2736,0,""
encaps,203,17.17,0,""
decaps,203,23.1101,0,""
encaps,204,17.1192,0,""
decaps,204,23.3459,0,""
encaps,205,17.0296,0,""
decaps,205,23.4282,0,""
encaps,206,17.209,0,""
decaps,206,23.4001,0,""
encaps,207,17.1226,0,""
decaps,207,23.4707,0,""
encaps,208,17.1715,0,""
decaps,208,23.4994,0,""
encaps,209,17.2345,0,""
decaps,209,23.4369,0,""
encaps,210,17.2876,0,""
decaps,210,23.4087,0,""
encaps,211,17.3199,0,""
decaps,211,23.6803,0,""
encaps,212,18.0511,0,""
decaps,212,23.5811,0,""
encaps,213,17.3561,0,""
decaps,213,23.6237,0,""
encaps,214,17.2508,0,""
decaps,214,23.5157,0,""
encaps,215,17.2707,0,""
decaps,215,24.3648,0,""
encaps,216,17.3309,0,""
decaps,216,23.6037,0,""
encaps,217,17.3608,0,""
decaps,217,23.8371,0,""
encaps,218,17.4462,0,""
decaps,218,23.7596,0,""
encaps,219,17.6212,0,""
decaps,219,23.8902,0,""
encaps,220,17.588,0,""
decaps,220,23.9077,0,""
encaps,221,17.5853,0,""
decaps,221,24.085,0,""
encaps,222,17.7702,0,""
decaps,222,24.0961,0,""
encaps,223,19.426,0,""
decaps,223,24.1529,0,""
encaps,224,17.8348,0,""
decaps,224,23.9871,0,""
encaps,225,17.4647,0,""
decaps,225,23.7542,0,""
encaps,226,17.395,0,""
decaps,226,24.5965,0,""
encaps,227,17.5035,0,""
decaps,227,23.8874,0,""
encaps,228,17.5494,0,""
decaps,228,23.9877,0,""
encaps,229,17.5691,0,""
decaps,229,24.1221,0,""
encaps,230,17.6658,0,""
decaps,230,24.0881,0,""
encaps,231,17.7858,0,""
decaps,231,24.1574,0,""
encaps,232,17.7557,0,""
decaps,232,24.1606,0,""
encaps,233,17.7232,0,""
decaps,233,24.8592,0,""
encaps,234,17.9425,0,""
decaps,234,24.3883,0,""
encaps,235,17.8364,0,""
decaps,235,24.3151,0,""
encaps,236,17.8754,0,""
decaps,236,24.3087,0,""
encaps,237,17.8707,0,""
decaps,237,24.3633,0,""
encaps,238,17.9117,0,""
decaps,238,24.2423,0,""
encaps,239,17.7727,0,""
decaps,239,28.7603,0,""
encaps,240,17.8589,0,""
decaps,240,24.3596,0,""
encaps,241,17.883,0,""
decaps,241,24.5003,0,""
encaps,242,18.0539,0,""
decaps,242,24.4408,0,""
encaps,243,17.9164,0,""
decaps,243,24.3666,0,""
encaps,244,17.8884,0,""
decaps,244,24.5694,0,""
encaps,245,17.9587,0,""
decaps,245,24.6077,0,""
encaps,246,18.0216,0,""
decaps,246,24.4311,0,""
encaps,247,17.7616,0,""
decaps,247,24.4162,0,""
encaps,248,17.9855,0,""
decaps,248,24.5644,0,""
encaps,249,18.1955,0,""
decaps,249,24.713,0,""
encaps,250,17.9776,0,""
decaps,250,24.6044,0,""
encaps,251,19.7955,0,""
decaps,251,24.6014,0,""
encaps,252,18.0578,0,""
decaps,252,24.5164,0,""
encaps,253,18.0544,0,""
decaps,253,24.6483,0,""
encaps,254,18.1016,0,""
decaps,254,24.5884,0,""
encaps,255,18.0791,0,""
decaps,255,24.6693,0,""
encaps,256,18.2151,0,""
decaps,256,24.7012,0,""
encaps,257,18.2869,0,""
decaps,257,24.8434,0,""
encaps,258,18.3535,0,""
decaps,258,25.0869,0,""
encaps,259,18.4003,0,""
decaps,259,24.7704,0,""
encaps,260,18.2708,0,""
decaps,260,24.8994,0,""
encaps,261,18.1161,0,""
decaps,261,24.8216,0,""
encaps,262,18.2508,0,""
decaps,262,29.0426,0,""
encaps,263,18.2941,0,""
decaps,263,24.8024,0,""
encaps,264,18.3658,0,""
decaps,264,24.9774,0,""
encaps,265,18.3984,0,""
decaps,265,25.0781,0,""
encaps,266,18.3144,0,""
decaps,266,25.0559,0,""
encaps,267,18.4134,0,""
decaps,267,25.0271,0,""
encaps,268,18.3379,0,""
decaps,268,24.9424,0,""
encaps,269,18.4071,0,""
decaps,269,24.9435,0,""
encaps,270,18.2071,0,""
decaps,270,24.8182,0,""
encaps,271,18.3289,0,""
decaps,271,25.0917,0,""
encaps,272,18.3621,0,""
decaps,272,25.2185,0,""
encaps,273,18.482,0,""
decaps,273,25.1118,0,""
encaps,274,18.6408,0,""
decaps,274,25.3023,0,""
encaps,275,18.4488,0,""
decaps,275,25.0349,0,""
encaps,276,18.472,0,""
decaps,276,25.3494,0,""
encaps,277,18.5932,0,""
decaps,277,25.1889,0,""
encaps,278,18.4221,0,""
decaps,278,29.3249,0,""
encaps,279,46.1887,0,""
decaps,279,24.6181,0,""
encaps,280,18.0789,0,""
decaps,280,24.8266,0,""
encaps,281,19.6272,0,""
decaps,281,24.9901,0,""
encaps,282,18.4467,0,""
decaps,282,25.1776,0,""
encaps,283,18.6418,0,""
decaps,283,25.5052,0,""
encaps,284,18.7683,0,""
decaps,284,29.9833,0,""
encaps,285,18.5216,0,""
decaps,285,25.1625,0,""
encaps,286,18.4518,0,""
decaps,286,25.054,0,""
encaps,287,18.5066,0,""
decaps,287,25.2677,0,""
encaps,288,18.6834,0,""
decaps,288,25.2475,0,""
encaps,289,18.6102,0,""
decaps,289,25.3772,0,""
encaps,290,18.6325,0,""
decaps,290,25.3847,0,""
encaps,291,18.8939,0,""
decaps,291,25.5609,0,""
encaps,292,18.6566,0,""
decaps,292,25.515,0,""
encaps,293,18.6875,0,""
decaps,293,25.3705,0,""
encaps,294,18.6138,0,""
decaps,294,25.3478,0,""
encaps,295,18.7503,0,""
decaps,295,25.4037,0,""
encaps,296,18.6026,0,""
decaps,296,25.2895,0,""
encaps,297,18.5982,0,""
decaps,297,25.173,0,""
encaps,298,18.6035,0,""
decaps,298,25.5166,0,""
encaps,299,18.7637,0,""
decaps,299,25.5152,0,""
encaps,300,18.6145,0,""
decaps,300,29.0344,0,""
encaps,301,18.62,0,""
decaps,301,25.4096,0,""
encaps,302,18.5764,0,""
decaps,302,25.4774,0,""
encaps,303,18.9997,0,""
decaps,303,26.4081,0,""
encaps,304,18.8602,0,""
decaps,304,27.1569,0,""
encaps,305,18.75,0,""
decaps,305,25.472,0,""
encaps,306,18.7566,0,""
decaps,306,25.1356,0,""
encaps,307,18.6991,0,""
decaps,307,25.6309,0,""
encaps,308,18.873,0,""
decaps,308,25.6773,0,""
encaps,309,18.9236,0,""
decaps,309,25.5441,0,""
encaps,310,18.7597,0,""
decaps,310,25.857,0,""
encaps,311,19.081,0,""
decaps,311,25.8979,0,""
encaps,312,18.9456,0,""
decaps,312,25.6751,0,""
encaps,313,18.7816,0,""
decaps,313,25.5927,0,""
encaps,314,18.7641,0,""
decaps,314,25.7168,0,""
encaps,315,18.9198,0,""
decaps,315,25.6124,0,""
encaps,316,18.9559,0,""
decaps,316,25.8732,0,""
encaps,317,19.0125,0,""
decaps,317,25.7936,0,""
encaps,318,18.9121,0,""
decaps,318,26.0358,0,""
encaps,319,19.1821,0,""
decaps,319,25.8378,0,""
encaps,320,18.9237,0,""
decaps,320,25.8048,0,""
encaps,321,18.9779,0,""
decaps,321,25.8677,0,""
encaps,322,19.1181,0,""
decaps,322,26.0384,0,""
encaps,323,19.0482,0,""
decaps,323,25.9557,0,""
encaps,324,18.8475,0,""
decaps,324,25.3935,0,""
encaps,325,18.6798,0,""
decaps,325,25.4936,0,""
encaps,326,18.7849,0,""
decaps,326,25.487,0,""
encaps,327,18.8121,0,""
decaps,327,25.6148,0,""
encaps,328,18.9698,0,""
decaps,328,25.6412,0,""
encaps,329,18.9993,0,""
decaps,329,25.8332,0,""
encaps,330,18.9619,0,""
decaps,330,26.0051,0,""
encaps,331,19.1469,0,""
decaps,331,25.9188,0,""
encaps,332,19.0552,0,""
decaps,332,26.0811,0,""
encaps,333,19.0695,0,""
decaps,333,25.7928,0,""
encaps,334,18.8986,0,""
decaps,334,25.8088,0,""
encaps,335,19.046,0,""
decaps,335,25.6463,0,""
encaps,336,18.942,0,""
decaps,336,25.9264,0,""
encaps,337,18.951,0,""
decaps,337,25.9063,0,""
encaps,338,18.9414,0,""
decaps,338,25.7588,0,""
encaps,339,18.9637,0,""
decaps,339,25.936,0,""
encaps,340,18.9262,0,""
decaps,340,25.8823,0,""
encaps,341,19.1242,0,""
decaps,341,26.0022,0,""
encaps,342,19.0923,0,""
decaps,342,26.0919,0,""
encaps,343,19.1992,0,""
decaps,343,26.0815,0,""
encaps,344,19.1224,0,""
decaps,344,27.3272,0,""
encaps,345,19.2239,0,""
decaps,345,26.3915,0,""
encaps,346,19.2078,0,""
decaps,346,26.0014,0,""
encaps,347,18.9852,0,""
decaps,347,25.848,0,""
encaps,348,18.9901,0,""
decaps,348,25.8587,0,""
encaps,349,18.9823,0,""
decaps,349,25.7521,0,""
encaps,350,19.129,0,""
decaps,350,25.8086,0,""
encaps,351,19.0919,0,""
decaps,351,25.9241,0,""
encaps,352,19.1267,0,""
decaps,352,26.1077,0,""
encaps,353,19.2144,0,""
decaps,353,26.1577,0,""
encaps,354,19.1759,0,""
decaps,354,26.0237,0,""
encaps,355,19.1094,0,""
decaps,355,26.0119,0,""
encaps,356,19.0736,0,""
decaps,356,25.9311,0,""
encaps,357,19.9809,0,""
decaps,357,27.8388,0,""
encaps,358,19.1963,0,""
decaps,358,26.0681,0,""
encaps,359,19.2898,0,""
decaps,359,26.1308,0,""
encaps,360,19.2223,0,""
decaps,360,26.024,0,""
encaps,361,19.1295,0,""
decaps,361,26.0265,0,""
encaps,362,19.1397,0,""
decaps,362,26.1868,0,""
encaps,363,19.0859,0,""
decaps,363,25.8301,0,""
encaps,364,19.1212,0,""
decaps,364,25.9756,0,""
encaps,365,19.1591,0,""
decaps,365,26.048,0,""
encaps,366,19.2857,0,""
decaps,366,26.1744,0,""
encaps,367,19.2406,0,""
decaps,367,26.1388,0,""
encaps,368,19.126,0,""
decaps,368,25.8807,0,""
encaps,369,18.9961,0,""
decaps,369,25.942,0,""
encaps,370,19.1977,0,""
decaps,370,26.2445,0,""
encaps,371,19.2313,0,""
decaps,371,26.1573,0,""
encaps,372,19.2622,0,""
decaps,372,25.9511,0,""
encaps,373,19.1694,0,""
decaps,373,26.0605,0,""
encaps,374,19.1721,0,""
decaps,374,25.9954,0,""
encaps,375,19.1066,0,""
decaps,375,26.0332,0,""
encaps,376,19.1317,0,""
decaps,376,26.2833,0,""
encaps,377,19.2248,0,""
decaps,377,26.3144,0,""
encaps,378,19.167,0,""
decaps,378,26.1568,0,""
encaps,379,19.1438,0,""
decaps,379,26.1344,0,""
encaps,380,19.0845,0,""
decaps,380,26.1304,0,""
encaps,381,19.2173,0,""
decaps,381,26.2947,0,""
encaps,382,19.3101,0,""
decaps,382,26.3287,0,""
encaps,383,19.2984,0,""
decaps,383,26.4172,0,""
encaps,384,19.1365,0,""
decaps,384,26.0511,0,""
encaps,385,19.1543,0,""
decaps,385,26.1352,0,""
encaps,386,19.2263,0,""
decaps,386,26.163,0,""
encaps,387,19.2778,0,""
decaps,387,26.2291,0,""
encaps,388,44.4839,0,""
decaps,388,25.8497,0,""
encaps,389,19.0981,0,""
decaps,389,25.9583,0,""
encaps,390,19.2076,0,""
decaps,390,26.4078,0,""
encaps,391,19.3877,0,""
decaps,391,26.2817,0,""
encaps,392,19.3155,0,""
decaps,392,26.2125,0,""
encaps,393,19.1848,0,""
decaps,393,26.1632,0,""
encaps,394,20.442,0,""
