case,iter,ms,bytes,notes
decaps,466,26.6243,0,""
encaps,467,19.5688,0,""
decaps,467,26.5801,0,""
encaps,468,19.6122,0,""
decaps,468,26.3969,0,""
encaps,469,19.3376,0,""
decaps,469,26.5466,0,""
encaps,470,19.6688,0,""
decaps,470,26.6617,0,""
encaps,471,19.4825,0,""
decaps,471,26.4963,0,""
encaps,472,19.6219,0,""
decaps,472,26.6899,0,""
encaps,473,19.6073,0,""
decaps,473,26.5134,0,""
encaps,474,19.4,0,""
decaps,474,26.4118,0,""
encaps,475,19.4156,0,""
decaps,475,26.4357,0,""
encaps,476,19.4493,0,""
decaps,476,26.6301,0,""
encaps,477,19.4877,0,""
decaps,477,27.2225,0,""
encaps,478,19.4213,0,""
decaps,478,26.9699,0,""
encaps,479,19.7104,0,""
decaps,479,26.7868,0,""
encaps,480,19.7824,0,""
decaps,480,26.572,0,""
encaps,481,19.6344,0,""
decaps,481,26.7634,0,""
encaps,482,19.5934,0,""
decaps,482,26.6783,0,""
encaps,483,19.5574,0,""
decaps,483,26.6502,0,""
encaps,484,19.5886,0,""
decaps,484,26.513,0,""
encaps,485,19.3835,0,""
decaps,485,26.3767,0,""
encaps,486,19.3679,0,""
decaps,486,26.5112,0,""
encaps,487,19.5769,0,""
decaps,487,26.7581,0,""
encaps,488,19.5708,0,""
decaps,488,26.5931,0,""
encaps,489,19.5915,0,""
decaps,489,26.7074,0,""
encaps,490,21.8294,0,""
decaps,490,26.5777,0,""
encaps,491,19.5555,0,""
decaps,491,26.5034,0,""
encaps,492,19.4228,0,""
decaps,492,26.4077,0,""
encaps,493,19.3833,0,""
decaps,493,26.5375,0,""
encaps,494,19.6841,0,""
decaps,494,26.703,0,""
encaps,495,56.3373,0,""
decaps,495,34.0975,0,""
encaps,496,19.8333,0,""
decaps,496,26.5189,0,""
encaps,497,19.4089,0,""
decaps,497,26.473,0,""
encaps,498,19.3681,0,""
decaps,498,26.4475,0,""
encaps,499,19.3838,0,""
decaps,499,26.4204,0,""
encaps_summary,0,18.0538,0,"p50=18.4503;p95=19.9878"
decaps_summary,0,24.2609,0,"p50=25.1504;p95=27.859"
file_enc,0,157.839,134217728,""
file_dec,0,466.431,134217728,""
file_check,0,0,134217728,"OK"
